,SP,SdP,SA,SB
4168,0.608,0.904,0.605,0.545
32421,0.782,0.284,0.0,0.128
1263,0.608,0.904,0.605,0.545
24373,0.645,0.974,0.044,0.286
43651,0.759,0.977,0.031,0.613
14433,0.674,0.655,0.341,0.809
35549,0.714,0.634,0.0,0.591
17763,0.651,0.907,0.0,0.475
23856,0.761,0.769,0.04,0.178
34242,0.657,0.684,0.311,0.828
1500,0.608,0.904,0.605,0.545
33128,0.782,0.284,0.0,0.128
42361,0.67,0.559,0.0,0.548
42830,0.759,0.977,0.031,0.613
26722,0.645,0.974,0.044,0.286
11120,0.658,0.748,0.367,0.782
45234,0.683,0.0,0.0,0.073
15980,0.674,0.655,0.341,0.809
15794,0.674,0.655,0.341,0.809
47146,0.645,0.637,0.0,0.527
21480,0.656,0.603,0.0,0.542
14079,0.674,0.655,0.341,0.809
36422,0.669,0.872,0.0,0.52
37484,0.656,0.706,0.221,0.888
17421,0.651,0.907,0.0,0.475
1979,0.608,0.904,0.605,0.545
42773,0.759,0.977,0.031,0.613
38329,0.737,0.312,0.0,0.444
40829,0.681,0.997,1.062,0.025
45259,0.683,0.0,0.0,0.073
37231,0.656,0.706,0.221,0.888
16150,0.674,0.655,0.341,0.809
27858,0.633,0.808,0.283,0.83
24342,0.645,0.974,0.044,0.286
22597,0.656,0.603,0.0,0.542
45519,0.683,0.0,0.0,0.073
32859,0.782,0.284,0.0,0.128
3463,0.608,0.904,0.605,0.545
27391,0.633,0.808,0.283,0.83
16476,0.651,0.907,0.0,0.475
31316,0.713,0.454,0.299,0.923
15751,0.674,0.655,0.341,0.809
35271,0.687,0.587,0.319,0.86
4069,0.608,0.904,0.605,0.545
50047,0.706,0.499,0.302,0.912
19280,0.651,0.907,0.0,0.475
43291,0.759,0.977,0.031,0.613
23849,0.761,0.769,0.04,0.178
33983,0.657,0.684,0.311,0.828
29920,0.633,0.808,0.283,0.83
44814,0.777,0.91,0.717,0.534
35521,0.714,0.634,0.0,0.591
32055,0.782,0.284,0.0,0.128
14253,0.674,0.655,0.341,0.809
997,0.608,0.904,0.605,0.545
46462,0.617,0.385,0.0,0.562
40082,0.681,0.997,1.062,0.025
5278,0.633,0.783,0.4,0.658
25581,0.645,0.974,0.044,0.286
49225,0.648,0.707,0.0,0.477
3245,0.608,0.904,0.605,0.545
30745,0.633,0.808,0.283,0.83
34110,0.657,0.684,0.311,0.828
21375,0.656,0.603,0.0,0.542
9550,0.633,0.783,0.4,0.658
19201,0.651,0.907,0.0,0.475
11236,0.658,0.748,0.367,0.782
16341,0.674,0.655,0.341,0.809
20314,0.656,0.603,0.0,0.542
34853,0.687,0.587,0.319,0.86
41243,0.681,0.997,1.062,0.025
31913,0.782,0.284,0.0,0.128
10069,0.658,0.748,0.367,0.782
14862,0.674,0.655,0.341,0.809
37474,0.656,0.706,0.221,0.888
16681,0.651,0.907,0.0,0.475
31281,0.713,0.454,0.299,0.923
27002,0.645,0.974,0.044,0.286
31047,0.713,0.454,0.299,0.923
20642,0.656,0.603,0.0,0.542
20409,0.656,0.603,0.0,0.542
24900,0.645,0.974,0.044,0.286
14922,0.674,0.655,0.341,0.809
10217,0.658,0.748,0.367,0.782
3205,0.608,0.904,0.605,0.545
23259,0.656,0.603,0.0,0.542
16986,0.651,0.907,0.0,0.475
22839,0.656,0.603,0.0,0.542
17577,0.651,0.907,0.0,0.475
15249,0.674,0.655,0.341,0.809
41468,0.681,0.997,1.062,0.025
21203,0.656,0.603,0.0,0.542
12729,0.658,0.748,0.367,0.782
35725,0.714,0.634,0.0,0.591
35690,0.714,0.634,0.0,0.591
3587,0.608,0.904,0.605,0.545
5838,0.633,0.783,0.4,0.658
42644,0.759,0.977,0.031,0.613
39297,0.681,0.997,1.062,0.025
49487,0.783,0.614,0.047,0.071
44746,0.777,0.91,0.717,0.534
13015,0.658,0.748,0.367,0.782
581,0.608,0.904,0.605,0.545
4422,0.608,0.904,0.605,0.545
30889,0.633,0.808,0.283,0.83
48589,0.616,0.0,0.0,0.056
41841,0.681,0.997,1.062,0.025
47139,0.645,0.637,0.0,0.527
41124,0.681,0.997,1.062,0.025
34939,0.687,0.587,0.319,0.86
27424,0.633,0.808,0.283,0.83
25348,0.645,0.974,0.044,0.286
26198,0.645,0.974,0.044,0.286
5542,0.633,0.783,0.4,0.658
30169,0.633,0.808,0.283,0.83
17469,0.651,0.907,0.0,0.475
25236,0.645,0.974,0.044,0.286
23417,0.656,0.603,0.0,0.542
35217,0.687,0.587,0.319,0.86
871,0.608,0.904,0.605,0.545
6493,0.633,0.783,0.4,0.658
50126,0.706,0.499,0.302,0.912
140,0.608,0.904,0.605,0.545
11971,0.658,0.748,0.367,0.782
4785,0.633,0.783,0.4,0.658
36010,0.714,0.634,0.0,0.591
302,0.608,0.904,0.605,0.545
9792,0.633,0.783,0.4,0.658
45251,0.683,0.0,0.0,0.073
27145,0.633,0.808,0.283,0.83
11916,0.658,0.748,0.367,0.782
32614,0.782,0.284,0.0,0.128
14579,0.674,0.655,0.341,0.809
11449,0.658,0.748,0.367,0.782
29967,0.633,0.808,0.283,0.83
52399,0.698,0.552,0.315,0.879
42127,0.681,0.997,1.062,0.025
20761,0.656,0.603,0.0,0.542
12645,0.658,0.748,0.367,0.782
43767,0.759,0.977,0.031,0.613
10265,0.658,0.748,0.367,0.782
2793,0.608,0.904,0.605,0.545
21040,0.656,0.603,0.0,0.542
8983,0.633,0.783,0.4,0.658
39313,0.681,0.997,1.062,0.025
13601,0.674,0.655,0.341,0.809
47341,0.645,0.637,0.0,0.527
48754,0.616,0.0,0.0,0.056
41484,0.681,0.997,1.062,0.025
42381,0.67,0.559,0.0,0.548
33137,0.782,0.284,0.0,0.128
12609,0.658,0.748,0.367,0.782
16110,0.674,0.655,0.341,0.809
